Using nonce 18369355690310434798
ProgramPool (avg. ticks 0, avg. max stack size 0, rp 0)<
  Program 280 <size 189, parent 77, gen gap 1, avg score 131.148, runs 8<
  Program 281 <size 189, parent 144, gen gap 1, avg score 131.206, runs 6<
  Program 282 <size 187, parent 76, gen gap 1, avg score 109.111, runs 8.5<
  Program 283 <size 185, parent 21, gen gap 1, avg score 120.092, runs 7<
  Program 284 <size 188, parent 102, gen gap 1, avg score 116.413, runs 4<
  Program 285 <size 187, parent 193, gen gap 1, avg score 99.7419, runs 8<
  Program 286 <size 189, parent 115, gen gap 1, avg score 131.666, runs 2<
  Program 287 <size 0, parent 6, gen gap 4, avg score 0, runs 2<
  Program 288 <size 0, parent 6, gen gap 6, avg score 0, runs 5<
  Program 289 <size 0, parent 19, gen gap 9, avg score 0, runs 7<
  Program 290 <size 0, parent 57, gen gap 2, avg score 0, runs 4<
  Program 291 <size 0, parent 85, gen gap 1, avg score 0, runs 5<
  Program 292 <size 0, parent 1, gen gap 7, avg score 0, runs 4<
  Program 293 <size 0, parent 11, gen gap 5, avg score 0, runs 2<
  Program 294 <size 0, parent 1, gen gap 6, avg score 0, runs 4<
  Program 295 <size 0, parent 1, gen gap 8, avg score 0, runs 4<
  Program 296 <size 190, parent 124, gen gap 1, avg score 84.3456, runs 4<
  Program 297 <size 0, parent 1, gen gap 6, avg score 0, runs 2<
  Program 298 <size 0, parent 11, gen gap 5, avg score 0, runs 2<
  Program 299 <size 0, parent 6, gen gap 3, avg score 0, runs 2<
  Program 300 <size 0, parent 6, gen gap 2, avg score 0, runs 7.5<
  Program 301 <size 0, parent 1, gen gap 3, avg score 0, runs 4<
  Program 302 <size 190, parent 272, gen gap 1, avg score 130.976, runs 2<
  Program 303 <size 0, parent 11, gen gap 5, avg score 0, runs 2<
  Program 304 <size 0, parent 1, gen gap 3, avg score 0, runs 6<
  Program 305 <size 0, parent 25, gen gap 6, avg score 0, runs 2<
  Program 306 <size 186, parent 17, gen gap 1, avg score 104.233, runs 9.25<
  Program 307 <size 0, parent 1, gen gap 8, avg score 0, runs 8<
  Program 308 <size 0, parent 53, gen gap 6, avg score 0, runs 10<
  Program 309 <size 0, parent 6, gen gap 4, avg score 0, runs 9<
  Program 310 <size 0, parent 10, gen gap 4, avg score 0, runs 5<
  Program 311 <size 0, parent 55, gen gap 3, avg score 0, runs 2<
  Program 312 <size 0, parent 206, gen gap 1, avg score 0, runs 8.5<
  Program 313 <size 0, parent 1, gen gap 6, avg score 0, runs 5<
  Program 314 <size 0, parent 28, gen gap 4, avg score 0, runs 6<
  Program 315 <size 0, parent 180, gen gap 1, avg score 0, runs 4<
  Program 316 <size 187, parent 81, gen gap 1, avg score 79.5829, runs 5<
  Program 317 <size 0, parent 11, gen gap 9, avg score 0, runs 10<
  Program 318 <size 0, parent 1, gen gap 4, avg score 0, runs 2<
  Program 319 <size 0, parent 53, gen gap 4, avg score 0, runs 7<
  Program 320 <size 0, parent 1, gen gap 7, avg score 0, runs 7.75<
  Program 321 <size 0, parent 46, gen gap 5, avg score 0, runs 4<
